NOCH UNBESTIMMT
NOT ASSIGNED
UNASSIGNED
N/A
NA
NOT KNOWN
UNKNOWN
UNKNOWN UNKNOWN
NOT SPECIFIED
UNSPECIFIED
NULL
INCERTAE
UNPLACED
KINGDOM
PHYLUM
CLASS
ORDER
FAMILY
GENUS
SPECIES
SUBSPECIES
?
.
(BLANK)
INCERTAE SEDIS
INCERTAE
INVALID
UNBEKANNT
UNCERTAIN
UNDET.
UNDETERMINED
UNSPECIFIED
UNPLACED
UNPLACED_KINGDOM
UNPLACED_PHYLUM
UNPLACED_PHYLA
UNPLACED_CLASS
UNPLACED_ORDER
UNPLACED_FAMILY
UNPLACED_GENUS
UNPLACED_SPECIES
UNIDENTIFIEABLE
UNDESIGNATED
UNRANKED CLADE
* NO CODE ASSIGNED BY USDA FOR THIS SPECIES OR VARIETY *
?
???
CLADE
CLASS
DEUS
FAMILY
GENUS
INCERTAE
INCERTAE SEDIS
INDET
INDETERMINADA
INVALID
KINGDOM
N
N/A
NA
NOT
NOT ALLOCATED
NOT APPLICABLE
NOT ASSIGNED
NOT CLASSIFIED
NOT DETERMINED
NOT GIVEN
NOT FOUND
NOT IDENTIFIED
NOT KNOWN
NOT REPORTED
NOT SPECIFIED
NOT YET CLASSIFIED
NULL
ORDER
PHYLUM
ROOT
SPEC
SPECIES
SUBSPECIES
UNALLOCATED
UNASSIGNED
UNBEKANNT
UNBEKANNT
UNCERTAIN
UNDESIGNATED
UNDET.
UNDETERMINED
UNIDENTIFIABLE
UNIDENTIFIEABLE
UNKNOWN
UNKNOWN UNKNOWN
UNPLACED
UNPLACED
UNPLACED_CLASS
UNPLACED_FAMILY
UNPLACED_GENUS
UNPLACED_KINGDOM
UNPLACED_ORDER
UNPLACED_PHYLA
UNPLACED_PHYLUM
UNPLACED_SPECIES
UNRANKED CLADE
UNSPECIFIED
UNSPECIFIED
VARIETY
\N
ALL FOLLOWING FROM CLB
* NO CODE ASSIGNED BY USDA FOR THIS SPECIES OR VARIETY *
A.
B.
BONE BED SAMPLE
C.
CLADE
CLASS
D.
DEUS
E.
F.
FAMILY
G.
GENUS
H.
I.
INCERTAE
INDET
INDETERMINADA
INDETERMINADO ERMINADA
INDETERMINATAE DICOT
INDETERMINATAE HEPATICAE
INDETERMINATAE MONOCOT
INDETERMINATAE MUSCI
INDETERMINATAE MYCOTA
INDETERMINATAE PTERIDO
INDETERMINATE (ACANTHODIAN)
INDETERMINATE (ACTINISTIAN)
INDETERMINATE (ACTINOPTERYGIAN)
INDETERMINATE (AGNATHAN)
INDETERMINATE (AMNIOTE)
INDETERMINATE (ARCHOSAUR)
INDETERMINATE (ARCHOSAUROMORPH)
INDETERMINATE (BAURIAMORPH)
INDETERMINATE (CHONDRICHTHYAN)
INDETERMINATE (CLUPEID)
INDETERMINATE (CYNODONT)
INDETERMINATE (DICYNODONT)
INDETERMINATE (DINOSAUR)
INDETERMINATE (FISH)
INDETERMINATE (GOMPHODONT)
INDETERMINATE (GORGONOPSID)
INDETERMINATE (ICHNOTAXON)
INDETERMINATE (ICHTHYOSAUR)
INDETERMINATE (LEPIDOSAUR)
INDETERMINATE (NEOPTERYGIAN)
INDETERMINATE (OSTEOLEPID)
INDETERMINATE (PALAEONISCIFORM)
INDETERMINATE (PARASEMIONOTID)
INDETERMINATE (PHYTOSAUR)
INDETERMINATE (PTEROSAUR)
INDETERMINATE (REPTILIAN)
INDETERMINATE (RHYNCHOSAUR)
INDETERMINATE (SYNAPSID)
INDETERMINATE (TELEOST)
INDETERMINATE (TETRAPOD)
INDETERMINATE (THERIODONT)
INDETERMINATE (THEROPOD)
INDETERMINATE (TRAVERSODONT)
INDETERMINATE (TRITYLODONT)
INDETERMINATE (TURTLE)
INDETERMINATE (WHAITSIID)
INDETERMINATE ERMINATE
INDETERMINATE INDETERMINATE
INDETERMINED ERMINED
INVALID
J.
K.
KINGDOM
L.
M.
MIXED
MIXED ANNOSUM
MIXED COLL
MIXED CULTURE
MIXED CULTURE BACTERIUM
MIXED CULTURE BACTERIUM AM_GF1DD01_01
MIXED CULTURE BACTERIUM AM_GF1DD01_02
MIXED CULTURE BACTERIUM AM_GF1DD01_03
MIXED CULTURE BACTERIUM AM_GF1DD01_06
MIXED CULTURE BACTERIUM AM_GF1DD01_08
MIXED CULTURE BACTERIUM AM_GF1DD01_09
MIXED CULTURE BACTERIUM AM_GF1DD01_12
MIXED CULTURE BACTERIUM AM_GF1DD01_13
MIXED CULTURE BACTERIUM AM_GF1DD01_14
MIXED CULTURE BACTERIUM AM_GF3SD01_01
MIXED CULTURE BACTERIUM AM_GF3SD01_02
MIXED CULTURE BACTERIUM AM_GF3SD01_03
MIXED CULTURE BACTERIUM AM_GF3SD01_04
MIXED CULTURE BACTERIUM AM_GF3SD01_05
MIXED CULTURE BACTERIUM AM_GF3SD01_06
MIXED CULTURE BACTERIUM AM_GF3SD01_07
MIXED CULTURE BACTERIUM AM_GF3SD01_08
MIXED CULTURE BACTERIUM AX_GF1DD01_01
MIXED CULTURE BACTERIUM AX_GF1DD01_02
MIXED CULTURE BACTERIUM AX_GF1DD01_04
MIXED CULTURE BACTERIUM AX_GF1DD01_14
MIXED CULTURE BACTERIUM AX_GF3SD01_01
MIXED CULTURE BACTERIUM AX_GF3SD01_03
MIXED CULTURE BACTERIUM AX_GF3SD01_04
MIXED CULTURE BACTERIUM AX_GF3SD01_07
MIXED CULTURE BACTERIUM AX_GF3SD01_08
MIXED CULTURE BACTERIUM AX_GF3SD01_09
MIXED CULTURE BACTERIUM AX_GF3SD01_10
MIXED CULTURE BACTERIUM AX_GF3SD01_11
MIXED CULTURE BACTERIUM AX_GF3SD01_12
MIXED CULTURE BACTERIUM AX_GF3SD01_13
MIXED CULTURE BACTERIUM AX_GF3SD01_14
MIXED CULTURE BACTERIUM AX_GF3SD01_15
MIXED CULTURE BACTERIUM AX_GF3SD01_16
MIXED CULTURE BACTERIUM AX_GF3SD01_17
MIXED CULTURE BACTERIUM AX_GF3SD01_19
MIXED CULTURE BACTERIUM AX_GF3SD01_20
MIXED CULTURE BACTERIUM AX_GF3SD01_22
MIXED CULTURE BACTERIUM AX_GF3SD01_25
MIXED CULTURE BACTERIUM AX_GF3SD01_26
MIXED CULTURE BACTERIUM AX_GF3SD01_29
MIXED CULTURE BACTERIUM AX_GF3SD01_30
MIXED CULTURE BACTERIUM AX_GF3SD01_33
MIXED CULTURE BACTERIUM AX_GF3SD01_39
MIXED CULTURE BACTERIUM AX_GF3SD01_42
MIXED CULTURE BACTERIUM AX_GF3SD01_47
MIXED CULTURE BACTERIUM AX_GF3SD01_48
MIXED CULTURE BACTERIUM AX_GF3SD01_50
MIXED CULTURE BACTERIUM CA_GF1DD01_02
MIXED CULTURE BACTERIUM CA_GF1DD01_03
MIXED CULTURE BACTERIUM CA_GF1DD01_07
MIXED CULTURE BACTERIUM CA_GF1DD01_13
